School,Sector,Type,Authority,Decile,SchoolGender,AffiliationType,Affiliation,Definition,KuraType,RegionalCouncil,TerritorialAuthority
Te Papapa School,Primary,Contributing,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Bilingual Year 7-8 School,Not a Kura School,Auckland,Auckland: Maungakiekie-Tamaki
Te Pi'ipi'inga Kakano Mai I Rangiatea,Composite,Composite (Year 1-15),State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Kura Kaupapa Māori,Kura Kaupapa Māori,Taranaki,New Plymouth
Te Pohue School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Hastings
Te Poi School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Matamata-Piako
Te Puke High School,Secondary,Secondary (Year 9-15),State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Western Bay of Plenty
Te Puke Intermediate,Primary,Intermediate,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Western Bay of Plenty
Te Puke Primary School,Primary,Contributing,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Western Bay of Plenty
Te Puna School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Western Bay of Plenty
Te Puru School,Primary,Full Primary,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Thames-Coromandel
Te Ra School,Primary,Full Primary,State: Integrated,8,Co-Ed,Organisational Affiliation,Rudolf Steiner,Not Applicable,Not a Kura School,Wellington,Kapiti Coast
Te Ranga School,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Western Bay of Plenty
Te Rangi Aniwaniwa,Composite,Composite (Year 1-15),State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Kura Kaupapa Māori,Kura Kaupapa Māori,Northland,Far North
Te Rangihakahaka Centre for Science and Technology,Composite,Composite (Year 1-15),State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Designated Character School,Designated Character,Bay of Plenty,Rotorua
Te Rapa School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Hamilton
Te Rerenga School,Primary,Full Primary,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Thames-Coromandel
Te Tipu Whenua o Pa Harakeke,Secondary,Teen Parent Unit,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Hastings
Te Tipua School,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Southland,Southland
Te Totara Primary School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Hamilton
Te Uho O Te Nikau Primary School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Howick
Te Uku School,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waikato
Te Waha O Rerekohu Area School,Composite,Composite (Year 1-15),State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Gisborne,Gisborne
Te Wainui a Rua,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Whanganui
Te Waka Unua School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Te Waotu School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,South Waikato
