DHB,Date,Age,Ethnicity,Eligible,Immunised
Auckland,2013-12-31,24 months,NZE,434,408
Auckland,2013-12-31,24 months,Other,234,214
Auckland,2013-12-31,24 months,Pacific,260,251
Auckland,2013-12-31,24 months,Total,1494,1409
Auckland,2013-12-31,5 years,Asian,375,301
Auckland,2013-12-31,5 years,Maori,207,146
Auckland,2013-12-31,5 years,NZE,403,334
Auckland,2013-12-31,5 years,Other,304,220
Auckland,2013-12-31,5 years,Pacific,307,246
Auckland,2013-12-31,5 years,Total,1596,1247
Auckland,2014-03-31,6 months,Asian,435,388
Auckland,2014-03-31,6 months,Maori,186,119
Auckland,2014-03-31,6 months,NZE,405,347
Auckland,2014-03-31,6 months,Other,216,177
Auckland,2014-03-31,6 months,Pacific,299,231
Auckland,2014-03-31,6 months,Total,1541,1262
Auckland,2014-03-31,8 months,Asian,436,417
Auckland,2014-03-31,8 months,Maori,190,163
Auckland,2014-03-31,8 months,NZE,410,384
Auckland,2014-03-31,8 months,Other,202,186
Auckland,2014-03-31,8 months,Pacific,283,260
Auckland,2014-03-31,8 months,Total,1521,1410
Auckland,2014-03-31,12 months,Asian,428,419
Auckland,2014-03-31,12 months,Maori,179,172
Auckland,2014-03-31,12 months,NZE,440,411
